AEP1-4_S2_00001	12916
AEP1-4_S2_00002	12916
AEP1-4_S2_00003	12916
AEP1-4_S2_00004	12916
AEP1-4_S2_00005	12916
AEP1-4_S2_00006	12916
AEP1-4_S2_00007	12916
AEP1-4_S2_00008	12916
AEP1-4_S2_00009	12916
AEP1-4_S2_00010	12916
AEP1-4_S2_00011	12916
AEP1-4_S2_00012	12916
AEP1-4_S2_00013	12916
AEP1-4_S2_00014	12916
AEP1-4_S2_00015	12916
AEP1-4_S2_00016	12916
AEP1-4_S2_00017	12916
AEP1-4_S2_00018	12916
AEP1-4_S2_00019	12916
AEP1-4_S2_00020	12916
AEP1-4_S2_00021	12916
AEP1-4_S2_00022	12916
AEP1-4_S2_00023	12916
AEP1-4_S2_00024	12916
AEP1-4_S2_00025	12916
AEP1-4_S2_00026	12916
AEP1-4_S2_00027	12916
AEP1-4_S2_00028	12916
AEP1-4_S2_00029	12916
AEP1-4_S2_00030	12916
AEP1-4_S2_00031	12916
AEP1-4_S2_00032	12916
AEP1-4_S2_00033	12916
AEP1-4_S2_00034	12916
AEP1-4_S2_00035	12916
AEP1-4_S2_00036	12916
AEP1-4_S2_00037	12916
AEP1-4_S2_00038	12916
AEP1-4_S2_00039	12916
AEP1-4_S2_00040	12916
AEP1-4_S2_00041	12916
AEP1-4_S2_00042	12916
AEP1-4_S2_00043	12916
AEP1-4_S2_00044	12916
AEP1-4_S2_00045	12916
AEP1-4_S2_00046	12916
AEP1-4_S2_00047	12916
AEP1-4_S2_00048	12916
AEP1-4_S2_00049	12916
AEP1-4_S2_00050	12916
AEP1-4_S2_00051	12916
AEP1-4_S2_00052	12916
AEP1-4_S2_00053	12916
AEP1-4_S2_00054	12916
AEP1-4_S2_00055	12916
AEP1-4_S2_00056	12916
AEP1-4_S2_00059	12916
AEP1-4_S2_00061	12916
AEP1-4_S2_00062	12916
AEP1-4_S2_00063	12916
AEP1-4_S2_00064	12916
AEP1-4_S2_00065	12916
AEP1-4_S2_00066	12916
AEP1-4_S2_00067	12916
AEP1-4_S2_00068	12916
